"ID","AGE","HOME","HINC","GENDER","MEDAGE","MEDPPH","MEDHVAL","MEDINC","MEDEDUC","NUMPROM","NUMPRM12","RAMNTALL","NGIFTALL","MAXRAMNT","LASTGIFT","TDON","RFA_96"
229,84,1,4,"M",50,105,93,189,120,38,13,125,5,40,40,19.0000000000001,"A3G"
233,76,1,2,"F",38,141,467,239,136,65,13,195,15,20,20,18,"A2F"
234,37,1,6,"M",43,176,1697,471,140,56,13,132,18,10,4,19.0000000000001,"S3E"
235,76,1,2,"F",54,144,743,263,124,15,10,15,1,15,15,19.0000000000001,"F1F"
238,34,1,3,"M",42,188,377,243,120,48,13,68,11,10,10,18,"S3E"
240,72,1,1,"F",32,109,643,280,140,20,8,78,6,15,14,18,"A4E"
241,80,0,1,"M",40,118,825,210,120,55,19,100,17,10,5,8.00000000000006,"S3D"
242,57,1,5,"M",27,64,463,202,160,56,12,104,7,23,20,21,"A2F"
244,66,1,5,"M",41,207,253,112,102,51,14,155,8,25,20,16.0000000000001,"A1F"
246,57,0,5,"F",50,157,499,278,120,53,11,109,18,10,5,18,"S3D"
248,90,0,5,"F",39,252,570,391,120,53,13,128,12,15,13,19.0000000000001,"A4E"
249,93,NA,NA,"F",44,264,3275,736,146,50,13,59,7,15,15,17.0000000000001,"S2F"
250,36,1,4,"M",31,140,836,308,149,34,14,75,4,25,25,15,"A2F"
255,77,1,6,"F",44,177,1120,357,132,67,10,169,22,12,10,25.0000000000001,"A1E"
260,65,NA,NA,NA,61,139,729,183,120,15,10,20,1,20,20,20.0000000000001,"F1F"
262,73,1,2,"M",43,175,667,341,123,67,12,127,13,20,20,18,"S3F"
264,42,1,4,"F",43,182,983,415,140,69,14,120,13,30,10,20.0000000000001,"S2G"
269,55,NA,NA,"F",35,180,713,267,120,60,15,124,7,25,25,18,"A1G"
279,34,0,5,"M",39,229,876,480,146,13,8,15,1,15,15,21,"F1F"
282,36,1,5,"F",38,223,663,268,120,16,10,20,1,20,20,20.0000000000001,"F1F"
288,46,0,1,"M",41,193,246,139,117,37,12,42,4,15,15,22.0000000000001,"A2F"
290,60,1,1,"F",37,190,422,209,120,39,13,87,11,20,10,18,"A4E"
294,84,0,1,"F",53,168,538,205,120,61,7,115,18,15,15,18,"S4F"
303,54,1,6,"M",32,152,1096,427,151,42,11,58,6,17,17,24,"A1F"
309,52,1,7,"M",44,170,666,219,120,59,8,134,18,11,10,25.0000000000001,"S2E"
311,71,1,5,"F",66,63,750,118,120,24,13,23,4,10,5,17.0000000000001,"A3E"
316,69,1,6,"F",48,186,2078,572,155,21,7,25,2,15,15,18,"A1F"
317,69,0,1,"M",34,140,613,387,147,48,13,98,17,8,6,15,"S4D"
319,62,1,4,"M",58,151,611,204,120,36,12,70,4,20,20,20.0000000000001,"A1F"
321,63,0,4,"F",44,174,365,203,120,42,13,82,7,20,15,20.0000000000001,"A2F"
322,48,1,4,"M",37,124,669,291,120,53,14,123,12,12,11,15,"A4E"
329,58,1,2,"M",0,0,0,0,0,70,11,108,20,10,10,19.0000000000001,"A1E"
335,82,1,1,"F",48,123,530,82,110,51,7,132,28,10,2,19.0000000000001,"S4E"
341,86,1,7,"F",28,190,1219,430,120,39,29,47,3,17,15,16.0000000000001,"N2F"
343,77,1,2,"F",37,191,435,234,120,53,13,133,19,10,10,25.0000000000001,"S2E"
344,46,0,3,"F",41,240,771,322,120,74,13,280,18,30,10,15,"S3E"
349,81,1,2,"F",38,223,611,267,120,42,13,70,7,15,15,21,"A1F"
354,46,0,3,"F",36,194,872,294,127,21,10,20,2,15,15,18,"A1F"
355,63,1,1,"F",39,262,1118,598,154,95,31,277,16,26,26,20.0000000000001,"A1G"
360,68,0,1,"M",55,143,281,200,120,30,11,29,3,15,15,16.0000000000001,"A1F"
366,46,NA,NA,"M",40,224,717,236,120,14,11,23,1,23,23,17.0000000000001,"F1F"
368,57,1,5,"M",40,252,872,557,129,52,10,59,5,15,15,17.0000000000001,"A1F"
371,81,1,2,"F",43,167,471,213,120,74,15,206.5,13,25,25,17.0000000000001,"A1G"
374,45,NA,NA,"M",43,181,551,330,120,70,11,132,12,15,15,19.0000000000001,"A1F"
379,51,1,6,"M",44,188,658,327,120,43,13,70,14,10,6,15,"S4E"
380,67,1,5,"M",43,203,762,347,120,51,13,62,6,15,15,18,"A1F"
384,93,1,6,"F",37,196,1196,630,159,57,13,77,9,12,6,20.0000000000001,"A3E"
387,59,1,4,"U",33,353,1770,378,120,24,13,35,2,25,25,19.0000000000001,"A1G"
389,78,0,3,"F",46,188,378,257,120,21,12,22,3,10,10,18,"N3E"
391,73,1,3,"F",41,152,2182,301,120,67,13,128,13,15,15,19.0000000000001,"A1F"
392,64,1,5,"F",36,191,853,380,135,57,11,84,8,15,15,17.0000000000001,"A1F"
395,64,NA,NA,"M",37,226,472,337,120,34,12,57,3,22,22,17.0000000000001,"A1F"
396,74,1,2,"M",41,192,546,305,120,21,12,26,2,16,16,19.0000000000001,"N2F"
399,46,NA,NA,"F",40,251,2670,627,142,71,12,187,16,19,19,20.0000000000001,"S2F"
402,42,1,6,"F",34,275,1151,338,120,38,12,70,13,7,6,18,"S4D"
403,50,1,4,"F",38,186,851,389,120,58,6,137,27,7,6,22.0000000000001,"S3D"
404,92,0,1,"F",45,179,293,157,115,14,12,25,1,25,25,16.0000000000001,"F1G"
405,78,0,4,"F",38,113,797,341,140,81,25,365,10,75,50,4.00000000000011,"A1G"
407,65,1,2,"F",56,153,266,215,120,25,13,30,2,25,25,19.0000000000001,"A1G"
411,84,0,1,"M",52,162,468,201,120,69,11,103,14,12,12,20.0000000000001,"A1E"
413,75,1,5,"M",38,183,856,417,120,53,13,85,5,25,25,18,"A1G"
414,49,1,4,"F",40,215,657,403,120,57,14,121,13,20,10,18,"A4E"
416,78,1,3,"F",37,184,747,310,120,59,12,96,17,10,5,17.0000000000001,"S4D"
420,74,0,2,"M",72,94,621,268,139,45,11,71,7,17,17,25.0000000000001,"A1F"
424,96,1,2,"F",38,166,284,191,120,63,12,72,14,12,12,18,"A1E"
429,77,1,4,"F",38,174,1696,385,135,49,11,93,14,10,7,20.0000000000001,"A4E"
430,70,1,7,"F",41,221,1228,503,140,32,7,74,7,20,20,21,"A1F"
432,80,1,2,"F",51,178,425,265,120,52,13,145,6,35,30,19.0000000000001,"A1G"
435,74,1,5,"F",37,192,631,379,125,40,13,176,19,11,10,18,"S4E"
437,52,NA,NA,NA,44,182,672,257,120,56,13,130,5,30,30,25.0000000000001,"A1G"
444,76,0,1,"M",46,179,150,174,120,37,7,98,10,15,14,17.0000000000001,"S2F"
447,44,1,5,"F",52,184,486,166,120,41,11,50,4,15,15,20.0000000000001,"A1F"
448,64,1,2,"F",37,231,487,255,120,34,12,33,3,20,20,21,"A1F"
454,66,1,5,"M",40,227,830,465,120,77,11,119,21,10,10,18,"A1E"
457,56,NA,NA,"F",32,203,779,319,160,50,13,145,7,30,20,22.0000000000001,"A1F"
459,72,1,4,"M",49,172,519,310,120,30,10,25,2,15,15,21,"A1F"
463,57,NA,NA,NA,33,193,632,267,140,57,13,83,13,10,10,18,"S3E"
469,90,1,1,"F",39,120,1223,432,160,57,7,113,12,16,10,15,"S2E"
471,49,1,5,"F",52,156,1698,624,160,39,13,77,4,27,27,18,"A1G"
480,44,1,2,"F",47,157,579,309,120,42,11,70,4,20,20,15,"A1F"
484,64,NA,NA,"M",40,209,1071,610,160,47,12,92,8,15,15,25.0000000000001,"A2F"
487,40,1,5,"F",49,151,1836,419,134,66,13,103,12,15,15,18,"A1F"
490,83,NA,NA,"J",42,147,4371,646,157,87,24,165.5,22,11,8,5.00000000000006,"S4D"
491,55,1,3,"F",40,164,996,291,134,16,12,35,2,20,20,15,"N2F"
495,38,0,5,"M",45,177,1168,315,140,58,13,118,12,15,12,20.0000000000001,"A3E"
496,68,1,3,"M",46,167,693,156,120,22,10,40,2,20,20,19.0000000000001,"A1F"
501,56,0,1,"F",41,194,597,250,120,43,13,115,7,25,22,16.0000000000001,"A2F"
506,52,1,6,"M",36,235,660,249,120,75,13,226,13,25,25,17.0000000000001,"A1G"
514,37,0,6,"M",42,214,716,455,120,24,12,32,4,10,7,22.0000000000001,"A3E"
515,79,0,1,"M",40,198,557,196,120,46,13,68,6,18,14,18,"A2F"
519,77,1,3,"F",44,175,556,335,120,73,13,156,21,14,12,18,"S3E"
521,78,0,5,"F",42,176,719,319,120,65,9,100,13,20,10,15,"A1E"
523,58,0,1,"F",38,186,731,246,120,65,10,117,12,15,15,27,"A1F"
524,58,0,5,"F",45,187,974,395,140,126,34,327.25,29,20,16,6,"A2F"
526,70,NA,NA,"M",69,161,1250,218,120,40,10,36,4,15,15,19.0000000000001,"A1F"
529,52,1,5,"F",38,232,809,434,120,21,10,32,2,17,17,18,"A1F"
530,74,1,5,"M",39,193,1689,492,140,47,13,85,10,13,10,18,"S3E"
533,80,1,6,"M",46,235,1706,680,148,68,13,109,11,14,10,17.0000000000001,"A2E"
534,70,1,2,"M",38,188,1033,247,120,52,9,68,7,15,15,26.0000000000001,"A1F"
535,72,1,1,"F",38,254,582,288,120,97,31,146,17,12,10,16.0000000000001,"A1E"
538,61,0,3,"F",39,178,594,258,120,85,12,366,30,25,12,20.0000000000001,"A1E"
544,85,1,2,"F",51,127,764,377,148,64,7,119,12,16,16,25.0000000000001,"A1F"
547,80,NA,NA,NA,53,154,275,162,120,80,13,197,18,35,15,16.0000000000001,"A1F"
549,88,1,5,"M",46,192,3483,636,144,67,8,150,22,15,15,20.0000000000001,"S2F"
552,75,1,5,"M",55,186,936,331,120,49,15,64,6,15,15,18,"A2F"
554,69,1,2,"M",41,202,486,253,120,54,15,154,17,10,10,18,"S2E"
555,48,NA,NA,NA,37,169,1933,340,132,51,13,72,6,20,20,20.0000000000001,"A1F"
558,85,NA,NA,"F",41,179,510,284,120,58,13,146,15,15,15,20.0000000000001,"A1F"
567,51,1,5,"M",40,187,881,415,138,25,13,67,3,25,22,18,"A2G"
571,54,NA,NA,"M",30,103,739,227,138,91,33,154,12,20,20,10.0000000000001,"A2F"
572,83,1,1,"F",0,0,0,0,0,57,13,67,7,12,10,17.0000000000001,"A3E"
574,70,0,5,"F",40,191,553,253,120,82,12,389,26,31,26,24,"S2G"
577,78,0,1,"F",42,281,1824,1012,160,67,12,143,17,12,12,15,"A2E"
580,52,1,6,"F",39,247,1794,449,140,21,11,20,2,15,15,16.0000000000001,"A1F"
598,66,1,1,"F",40,204,348,159,120,26,12,44,4,15,10,18,"A2F"
603,87,NA,NA,"F",39,193,879,305,126,72,12,118,22,7,5,15,"S2D"
604,52,1,5,"F",63,153,1695,512,120,12,10,15,1,15,15,19.0000000000001,"F1F"
606,40,NA,NA,"F",40,231,714,399,120,14,11,25,1,25,25,17.0000000000001,"F1G"
607,30,0,7,"M",44,169,857,296,130,18,13,30,2,20,20,19.0000000000001,"N2F"
609,77,1,1,"F",39,172,414,232,120,81,14,360,23,25,24,18,"S3G"
611,53,1,4,"F",46,172,596,427,160,14,12,20,1,20,20,16.0000000000001,"F1F"
619,50,0,3,"M",46,185,771,283,120,49,13,67,5,20,20,18,"A1F"
622,52,NA,NA,"M",42,217,797,397,120,83,32,790,13,100,100,19.0000000000001,"A3G"
627,34,NA,NA,"F",39,220,607,280,120,54,13,83,9,14,14,18,"A3E"
632,45,1,6,"F",39,272,910,492,142,36,13,70,3,35,35,17.0000000000001,"A1G"
633,42,1,3,"F",32,220,655,245,120,19,13,26,3,11,11,17.0000000000001,"N3E"
637,63,1,4,"F",37,163,937,415,149,42,13,79,7,15,15,17.0000000000001,"A2F"
638,71,1,4,"M",41,180,980,476,140,78,14,198,17,25,25,18,"A3G"
641,50,0,4,"F",37,236,866,463,120,24,12,35,3,15,15,18,"A2F"
643,66,1,4,"M",41,187,1175,358,129,70,12,120,9,20,20,22.0000000000001,"A1F"
648,32,NA,NA,"M",37,251,661,388,128,32,9,35,4,15,15,26.0000000000001,"A1F"
650,34,1,4,"F",46,200,826,455,129,61,13,113,8,20,19,20.0000000000001,"S2F"
653,42,1,4,"M",36,225,901,436,130,62,12,102,7,20,20,22.0000000000001,"A1F"
656,60,1,4,"F",47,177,556,295,120,23,9,91,9,25,10,15,"A4G"
664,64,NA,NA,NA,37,240,586,284,120,52,9,70,6,20,20,24,"A1F"
669,81,0,5,"M",40,200,571,298,120,75,11,122,15,12,12,19.0000000000001,"A1E"
674,74,1,6,"F",32,164,1287,351,132,25,13,65,5,25,14,15,"A4G"
677,68,1,2,"M",36,210,244,263,115,24,14,22,6,10,0,8.00000000000006,"N4E"
682,74,1,7,"M",42,146,3649,451,140,65,12,80,13,10,10,17.0000000000001,"S2E"
684,28,1,6,"M",42,197,2379,474,133,23,14,23,4,10,10,16.0000000000001,"A3E"
686,42,1,4,"M",43,164,837,424,150,48,7,92,8,19,19,23.0000000000001,"A1F"
689,68,0,4,"F",40,157,465,159,124,15,13,25,1,25,25,16.0000000000001,"F1G"
693,73,1,2,"F",38,180,555,305,120,80,13,140,30,7,5,19.0000000000001,"S4D"
696,68,1,7,"M",0,0,0,0,0,33,8,75,3,25,25,24,"A1G"
697,79,0,5,"F",50,175,478,365,142,67,9,110,15,12,12,26.0000000000001,"A1E"
699,49,1,5,"F",35,258,659,349,135,47,9,56,4,15,15,25.0000000000001,"A1F"
702,50,1,4,"F",43,178,888,285,120,21,8,25,2,15,15,24,"A1F"
703,35,1,7,"F",41,169,425,196,120,66,11,237,19,36,19,26.0000000000001,"S2F"
704,54,1,5,"F",39,225,740,314,120,35,12,73,9,10,10,18,"A4E"
706,37,1,5,"M",43,154,691,268,120,44,14,135,7,25,25,19.0000000000001,"A4G"
713,65,1,3,"M",33,194,383,244,120,72,11,128,28,10,6,24,"S3D"
716,42,0,1,"M",41,125,822,272,137,19,12,30,1,30,30,21,"F1G"
721,41,NA,NA,"M",41,156,2352,337,120,57,12,150,7,28,20,25.0000000000001,"A1F"
723,74,1,1,"F",43,152,244,163,106,83,10,147,28,7,5,17.0000000000001,"S3D"
727,46,1,5,"F",44,160,446,264,120,51,13,174,13,27,27,18,"A4G"
728,65,NA,4,"M",50,140,1505,405,125,31,21,61,4,25,20,6,"A2G"
733,80,1,4,"F",34,216,668,296,123,68,13,101,23,6,5,16.0000000000001,"S3D"
734,46,1,6,"F",42,166,566,275,140,44,12,56,5,15,15,23.0000000000001,"A1F"
736,47,1,5,"M",46,153,1602,455,140,58,13,109,14,12,6,15,"S2E"
742,50,1,4,"M",32,186,567,340,140,22,11,30,2,20,20,18,"A1F"
749,78,1,1,"F",49,176,623,320,120,32,14,68,8,10,10,17.0000000000001,"S4E"
752,38,1,2,"F",40,194,814,247,120,24,13,51,5,25,25,18,"A4G"
753,26,1,3,"M",39,239,688,402,123,56,14,113,13,11,10,19.0000000000001,"S2E"
756,71,1,7,"M",48,158,505,253,120,52,12,88,12,11,5,18,"A3E"
757,60,1,4,"M",34,199,938,317,120,29,9,30,2,20,20,26.0000000000001,"A1F"
761,63,1,4,"F",42,189,391,245,120,51,12,98,8,16,16,15,"A1E"
769,52,0,2,"F",43,164,604,264,120,72,15,212,22,37,25,20.0000000000001,"S3G"
779,65,NA,NA,NA,42,194,610,259,120,83,12,258,21,20,15,24,"A1F"
780,69,1,4,"F",37,171,1795,310,134,46,16,80,5,20,20,6,"A1F"
782,77,NA,NA,"M",45,190,609,364,133,59,11,72,13,7,6,17.0000000000001,"S3D"
783,76,1,1,"M",37,268,277,212,117,40,13,102,8,17,17,15,"A1F"
785,36,1,5,"F",63,151,1377,280,140,49,10,152,15,12,12,25.0000000000001,"A1E"
790,34,0,2,"F",41,130,377,174,140,51,13,205,11,26,26,24,"A1G"
793,40,1,7,"M",43,205,1651,541,160,78,12,233,18,25,20,16.0000000000001,"S2F"
795,62,NA,NA,"M",47,173,512,261,124,55,13,85,4,25,25,23.0000000000001,"A1G"
797,59,1,6,"F",53,132,5725,610,160,56,13,131,8,25,25,18,"A2G"
801,42,1,5,"F",39,187,537,152,120,22,10,30,2,20,20,20.0000000000001,"A1F"
802,61,1,7,"F",45,200,1716,575,160,77,30,545,8,150,150,15,"A2G"
805,46,1,5,"F",43,178,397,247,120,66,13,86,10,15,15,22.0000000000001,"A1F"
808,80,1,2,"F",39,225,898,490,120,55,11,148,10,20,12,21,"A1E"
809,48,1,4,"U",37,155,739,361,140,61,11,136,9,37,15,18,"A1F"
814,54,1,1,"M",44,251,1060,519,139,24,12,41,3,16,15,21,"A2F"
815,45,1,7,"F",43,192,2070,515,139,54,13,100,8,20,20,20.0000000000001,"A1F"
819,46,0,6,"F",45,153,629,284,120,51,11,128,8,25,25,25.0000000000001,"A1G"
820,66,1,2,"M",54,153,168,163,120,13,10,15,1,15,15,17.0000000000001,"F1F"
824,76,NA,NA,"F",40,202,966,418,123,74,16,280,17,25,25,18,"S3G"
828,56,1,4,"F",47,167,358,186,120,24,14,26,4,10,10,16.0000000000001,"A3E"
829,58,0,4,"M",38,104,3815,409,160,23,13,48,4,20,12,17.0000000000001,"A3F"
833,77,NA,NA,"M",64,140,956,205,120,31,13,54,5,12,12,18,"S3E"
834,48,1,5,"F",41,170,895,426,128,57,12,169,18,16,13,25.0000000000001,"S2E"
835,45,1,2,"F",29,153,714,218,138,54,14,92,10,13,13,17.0000000000001,"S2E"
837,71,1,2,"M",34,251,921,467,125,52,9,58,17,5,5,18,"S3D"
847,64,0,2,"F",37,235,641,360,120,24,11,25,2,15,15,18,"A1F"
848,53,1,5,"M",47,161,412,190,120,30,13,50,6,10,8,21,"A3E"
850,86,1,7,"M",49,181,896,382,120,63,7,192,23,13,5,21,"S4D"
854,46,1,5,"F",46,193,712,313,124,15,10,20,1,20,20,20.0000000000001,"F1F"
856,55,1,4,"M",39,245,661,391,140,57,12,170,14,20,16,17.0000000000001,"A1F"
857,46,1,5,"M",32,142,1203,284,138,48,13,48,6,20,20,19.0000000000001,"A1F"
858,34,1,5,"M",33,115,364,163,120,29,12,47,7,11,5,22.0000000000001,"A4E"
862,81,0,1,"F",39,95,415,245,133,65,13,294,18,25,21,19.0000000000001,"S4G"
863,53,1,4,"F",38,259,1236,497,140,45,12,39,5,15,15,18,"A1F"
866,46,1,3,"F",38,151,3240,412,137,28,12,37,6,9,6,16.0000000000001,"A4D"
867,54,1,7,"F",48,174,2631,689,150,26,13,70,3,25,25,19.0000000000001,"A2G"
871,55,1,5,"M",44,158,335,287,120,70,15,93,12,11,11,16.0000000000001,"A3E"
875,54,1,7,"M",44,140,4260,747,157,16,11,25,1,25,25,21,"F1G"
877,40,1,5,"F",44,146,628,207,120,66,14,145,21,10,10,16.0000000000001,"A3E"
884,70,1,7,"F",45,191,1887,552,146,34,12,28,3,15,15,17.0000000000001,"A1F"
900,36,1,1,"M",48,110,273,146,120,14,10,20,1,20,20,17.0000000000001,"F1F"
901,39,1,5,"F",34,237,547,284,120,18,13,21,3,11,11,16.0000000000001,"N3E"
907,43,1,5,"F",39,300,1231,610,144,22,12,45,3,20,20,17.0000000000001,"A2F"
911,40,0,6,"F",43,183,404,167,120,18,12,28,3,10,10,15,"N2E"
913,72,1,2,"F",47,228,1922,559,140,53,13,94,13,11,11,18,"S3E"
915,77,1,7,"M",45,201,1633,569,137,16,8,20,1,20,20,24,"N1F"
923,62,1,3,"F",38,164,495,280,120,56,10,185,9,30,30,26.0000000000001,"A1G"
924,48,1,6,"F",34,165,944,462,160,58,13,121,11,20,20,18,"S2F"
925,28,1,5,"F",0,0,0,0,0,34,12,87,8,20,14,15,"A3F"
927,48,1,3,"F",41,186,795,283,120,31,13,31,6,7,5,16.0000000000001,"A4D"
928,38,1,7,"F",39,207,925,403,133,47,31,275,5,100,50,8.00000000000006,"N3G"
930,54,1,3,"F",49,171,727,365,120,29,9,20,2,15,15,26.0000000000001,"A1F"
931,35,1,6,"M",33,190,723,339,120,36,12,36,5,10,6,20.0000000000001,"A3E"
932,40,1,2,"M",39,186,585,257,120,15,13,90,1,90,90,16.0000000000001,"F1G"
934,83,1,5,"M",69,103,1641,288,122,43,14,75,6,20,15,16.0000000000001,"A2F"
937,56,1,4,"F",36,283,1036,271,120,61,9,227,18,20,10,15,"L3F"
938,68,1,6,"F",38,175,648,297,138,55,13,77,9,13,10,18,"A3E"
940,53,0,3,"F",32,117,1951,341,160,66,16,89,17,12,5,15,"S4E"
943,48,1,5,"F",59,74,567,206,131,79,14,175,24,11,6,17.0000000000001,"S4E"
948,39,NA,NA,"F",41,245,1625,440,140,40,12,40,3,20,20,21,"A1F"
959,80,1,7,"M",56,168,3673,791,140,39,13,82,8,15,15,19.0000000000001,"A3F"
961,45,1,6,"M",37,267,1513,501,138,65,11,82,16,7,7,19.0000000000001,"S3D"
962,71,0,4,"F",39,215,878,412,140,62,12,142,12,20,13,21,"A1E"
964,86,0,1,"F",42,119,4746,475,160,38,13,90,4,25,25,18,"A2G"
965,66,1,6,"M",41,266,1436,663,143,65,13,123,21,10,5,17.0000000000001,"S4D"
972,64,1,4,"M",40,223,451,216,120,50,13,67,6,15,15,18,"S2F"
973,91,1,2,"F",56,161,3271,542,147,49,13,140,13,15,15,21,"S3F"
976,85,0,5,"F",45,159,548,378,120,71,13,102,19,10,10,17.0000000000001,"S2E"
978,73,1,2,"M",51,165,542,329,127,52,6,158,16,13,13,21,"A1E"
979,43,NA,NA,"F",49,152,5931,1500,160,32,14,120,5,36,15,18,"A3G"
980,73,0,1,"M",46,180,225,155,120,40,11,80,11,12,5,6,"A2E"
981,60,0,1,"F",41,214,238,301,120,40,12,62,5,16,16,18,"A2F"
983,69,1,6,"F",34,232,966,517,140,53,12,71,7,18,16,24,"A1F"
984,38,0,2,"F",31,145,583,339,120,41,24,74,11,15,5,6,"A4F"
986,52,1,3,"F",41,195,561,273,120,22,10,25,2,20,20,20.0000000000001,"A1F"
988,95,1,2,"F",45,164,457,296,132,96,19,169,18,20,10,16.0000000000001,"A1E"
991,46,NA,NA,NA,35,255,874,399,120,67,13,303,15,35,34,19.0000000000001,"A2G"
994,77,0,1,"F",44,165,450,209,120,45,11,64,6,20,20,20.0000000000001,"A1F"
