"ID","DONR","DAMT","AGE","HOME","HINC","GENDER","MEDAGE","MEDPPH","MEDHVAL","MEDINC","MEDEDUC","NUMPROM","NUMPRM12","RAMNTALL","NGIFTALL","MAXRAMNT","LASTGIFT","TDON","RFA_96"
2317,0,0,74,0,2,"M",32,77,2442,308,160,13,8,15,1,15,15,20.0000000000001,"F1F"
2323,0,0,46,0,5,"F",42,165,368,165,120,64,12,74,16,10,10,18,"A1E"
2325,0,0,76,0,1,"F",43,115,418,121,120,38,11,67,7,15,12,25.0000000000001,"A2F"
2332,0,0,73,1,2,"F",43,164,619,215,120,70,13,145,14,15,10,17.0000000000001,"S3E"
2335,0,0,62,NA,NA,"F",37,175,836,371,141,56,13,135,9,30,30,18,"A2G"
2372,0,0,70,0,1,"F",39,176,470,139,120,20,9,20,2,15,15,16.0000000000001,"A1F"
2400,0,0,46,1,4,"M",39,172,1238,518,140,21,11,25,2,20,20,15,"A1F"
2401,0,0,43,1,4,"F",41,234,1031,419,140,54,15,88,16,10,6,16.0000000000001,"A4E"
2437,0,0,74,1,3,"M",40,156,515,209,120,68,9,230,10,25,25,18,"A1G"
2479,0,0,64,0,3,"F",46,171,358,175,120,49,12,64,9,10,9,18,"A4D"
2480,0,0,49,1,6,"M",42,194,610,259,120,38,14,80,4,25,25,18,"A1G"
2503,0,0,78,0,2,"F",42,164,327,199,120,51,14,77,10,10,10,16.0000000000001,"A3E"
2511,0,0,62,0,5,"F",33,170,869,304,148,49,13,47.95,8,17.95,17.95,17.0000000000001,"A3F"
2519,0,0,49,1,7,"F",41,278,1423,765,140,46,14,74,7,20,20,16.0000000000001,"A1F"
2532,0,0,62,NA,NA,"M",51,152,555,183,120,80,14,152,38,10,5,17.0000000000001,"S4E"
2559,0,0,45,1,3,"M",35,226,872,418,140,36,12,44,7,9,9,15,"A3D"
2562,0,0,79,1,3,"F",37,149,627,192,140,70,12,169,14,25,17,16.0000000000001,"A1F"
2579,0,0,76,1,1,"M",62,151,662,253,120,93,30,111,13,17,10,16.0000000000001,"A1F"
2621,0,0,61,1,4,"F",43,184,486,237,120,104,24,158,23,11,11,19.0000000000001,"S2E"
2633,0,0,46,0,4,"F",38,85,5767,534,160,32,12,58,6,15,11,20.0000000000001,"A3F"
2659,0,0,25,1,2,"M",44,161,303,189,120,22,10,35,2,20,20,21,"A1F"
2672,0,0,77,1,2,"F",42,181,742,300,120,80,12,232,27,13,13,16.0000000000001,"A1E"
2684,0,0,46,1,7,"M",46,178,430,193,120,47,10,55,4,20,20,21,"A1F"
2696,0,0,74,1,5,"F",33,171,553,125,120,21,13,50,3,25,20,5.00000000000006,"N1G"
2698,0,0,40,1,6,"M",34,211,1621,425,136,52,10,49,6,15,15,21,"A1F"
2709,0,0,40,NA,NA,"M",39,145,492,182,120,44,12,52,4,21,21,22.0000000000001,"A1F"
2723,0,0,46,1,3,"M",36,121,3239,353,140,19,14,26,3,10,10,16.0000000000001,"N3E"
2754,0,0,44,1,4,"F",50,153,803,338,141,51,13,107,9,21,21,15,"A4F"
2755,0,0,76,1,5,"F",51,159,911,365,149,73,16,116,11,15,15,19.0000000000001,"A1F"
2803,0,0,85,1,5,"M",42,187,917,420,160,40,13,85,4,25,25,17.0000000000001,"A2G"
2817,0,0,66,1,3,"F",38,267,1083,565,140,15,10,25,1,25,25,19.0000000000001,"F1G"
2838,0,0,50,NA,NA,"F",38,118,1131,323,160,61,13,102,5,27,20,21,"A1F"
2858,0,0,60,1,4,"F",52,146,1170,402,120,24,13,36,7,6,6,17.0000000000001,"A4D"
2859,0,0,88,1,7,"M",41,181,1375,284,126,79,14,295,20,20,20,16.0000000000001,"S2F"
2860,0,0,74,0,4,"M",41,220,348,197,120,33,14,54,4,25,25,18,"A2G"
2863,0,0,66,1,3,"F",39,179,150,171,118,21,10,30,2,20,20,19.0000000000001,"A1F"
2880,0,0,78,1,1,"F",42,160,461,333,120,57,13,152,16,12,12,25.0000000000001,"A1E"
2915,0,0,55,1,2,"U",38,197,746,368,134,47,13,77,6,25,20,17.0000000000001,"A2F"
2934,0,0,42,1,2,"M",44,196,425,255,120,16,11,25,1,25,25,21,"F1G"
2972,0,0,84,1,4,"M",41,184,2058,483,137,50,13,102,9,25,25,18,"A1G"
3002,0,0,38,0,1,"F",46,182,410,201,120,40,12,42,4,20,20,23.0000000000001,"A2F"
3020,0,0,48,1,4,"U",38,211,1904,309,120,16,8,15,1,15,15,23.0000000000001,"N1F"
3032,0,0,66,1,7,"M",41,159,1062,339,140,64,15,181,11,26,23,16.0000000000001,"S2G"
3039,0,0,72,1,2,"F",36,225,485,299,120,63,15,71,10,14,14,18,"S2E"
3041,0,0,87,0,2,"F",45,147,602,286,120,59,12,204,27,11,11,25.0000000000001,"A1E"
3042,0,0,69,1,5,"M",43,255,1839,693,160,51,10,52,4,18,18,24,"A1F"
3044,0,0,68,NA,NA,"M",58,139,1945,408,135,80,26,325,3,125,125,17.0000000000001,"A1G"
3052,0,0,70,1,1,"M",42,216,489,315,120,68,11,153,24,10,10,21,"A1E"
3060,0,0,62,0,2,"F",48,127,636,214,140,38,12,35,8,6,5,20.0000000000001,"A4D"
3093,0,0,83,1,2,"F",40,151,905,324,140,43,12,73,5,24,19,21,"A1F"
3104,0,0,78,1,5,"M",37,169,981,385,141,86,25,107,13,20,7,5.00000000000006,"A3E"
3113,0,0,82,1,5,"M",39,174,329,191,120,12,9,15,1,15,15,18,"F1F"
3150,0,0,65,0,1,"M",38,220,746,366,120,79,13,240,24,15,10,17.0000000000001,"S2E"
3158,0,0,41,1,5,"M",40,224,507,246,120,69,11,140,25,7,5,22.0000000000001,"S3D"
3196,0,0,37,1,7,"F",41,173,4196,536,156,59,12,115,5,25,25,21,"A1G"
3200,0,0,82,1,1,"F",40,162,535,238,120,76,13,115,28,15,6,15,"A1D"
3203,0,0,79,0,2,"F",46,163,933,373,144,66,13,149,11,18,15,24,"A1F"
3236,0,0,70,1,5,"F",42,209,685,384,132,45,7,126.5,14,20,20,15,"A1F"
3259,0,0,69,1,6,"M",45,171,441,215,120,14,12,33,1,33,33,16.0000000000001,"F1G"
3273,0,0,72,0,4,"U",35,357,550,350,129,72,13,143,16,19,15,17.0000000000001,"A1F"
3282,0,0,36,1,4,"M",37,288,674,437,123,15,10,20,1,20,20,21,"F1F"
3304,0,0,92,1,7,"M",49,208,1479,463,126,68,14,81,11,12,12,16.0000000000001,"A3E"
3312,1,50,70,1,7,"M",70,89,3597,398,135,14,11,50,1,50,50,17.0000000000001,"F1G"
3331,0,0,51,1,6,"M",44,182,927,447,147,31,15,100,5,20,20,21,"A3F"
3355,0,0,72,1,4,"M",37,220,644,194,120,50,13,82,7,15,15,16.0000000000001,"A1F"
3375,0,0,76,1,4,"M",37,333,1520,357,109,91,31,195,10,25,25,12,"A1G"
3389,0,0,38,1,7,"F",40,236,2700,608,140,45,14,62,5,20,20,17.0000000000001,"A1F"
3391,0,0,77,1,4,"M",42,220,941,240,120,22,10,45,3,15,15,15,"A1F"
3400,0,0,36,1,4,"F",50,151,384,222,120,69,13,136,14,20,10,18,"S2E"
3402,0,0,82,0,1,"F",38,68,675,91,120,59,13,93,12,12,10,17.0000000000001,"S2E"
3454,0,0,37,1,7,"M",48,158,445,250,120,41,11,73,10,15,15,15,"A1D"
3460,0,0,49,1,2,"F",43,149,486,198,120,35,13,72,5,18,14,18,"A3F"
3491,0,0,63,1,4,"F",51,78,5364,291,140,23,10,30,2,20,20,18,"A1F"
3503,0,0,51,1,1,"F",37,171,737,269,124,66,15,131,13,20,20,18,"A2F"
3505,0,0,64,1,4,"M",42,219,1426,569,140,32,14,67,6,15,10,17.0000000000001,"A3F"
3510,0,0,55,1,7,"F",45,176,655,174,120,60,12,82,13,17,12,17.0000000000001,"A1E"
3551,1,12,58,1,4,"F",42,165,375,207,120,67,12,103.5,15,13,12,16.0000000000001,"S2E"
3578,0,0,52,1,3,"M",41,248,788,419,122,74,9,186,44,11,11,15,"S3E"
3590,0,0,63,1,2,"M",34,380,1416,330,104,15,10,20,1,20,20,20.0000000000001,"F1F"
3594,0,0,76,1,7,"F",37,263,825,433,126,77,13,209,17,25,13,18,"A2E"
3596,0,0,54,1,7,"M",49,175,1959,686,157,17,12,45,2,25,25,15,"F1F"
3611,0,0,50,1,5,"F",38,201,2331,294,120,20,10,20,2,15,15,17.0000000000001,"A1F"
3636,0,0,48,0,1,"M",40,182,375,154,120,33,12,46,3,21,21,17.0000000000001,"A1F"
3638,0,0,80,1,2,"F",51,173,693,396,120,47,7,51,16,5,3,15,"S3D"
3639,0,0,86,1,4,"M",37,214,1277,493,147,63,13,137,14,15,10,17.0000000000001,"S3F"
3642,0,0,52,1,5,"F",40,164,761,308,135,59,13,115,11,17,17,19.0000000000001,"A1F"
3647,0,0,71,1,7,"F",54,110,932,482,160,54,13,88,6,20,20,18,"A1F"
3666,0,0,56,1,4,"M",43,200,675,327,133,15,12,25,2,15,10,15,"N2F"
3672,0,0,37,NA,NA,"M",37,302,875,470,140,52,9,52,4,16,16,26.0000000000001,"A1F"
3686,0,0,40,1,7,"F",36,186,834,397,135,43,11,84,8,20,20,19.0000000000001,"A1F"
3687,0,0,67,1,5,"M",40,164,740,309,140,68,9,103,14,10,10,24,"S2E"
3703,0,0,51,1,5,"M",42,253,1614,677,160,33,12,41,5,15,15,22.0000000000001,"A1F"
3786,0,0,76,1,2,"M",58,136,337,228,120,30,12,35,3,20,20,17.0000000000001,"A1F"
3792,0,0,62,1,6,"M",46,175,664,230,120,14,11,20,1,20,20,17.0000000000001,"F1F"
3795,0,0,44,1,2,"F",40,182,1057,264,120,36,13,61,5,23,23,17.0000000000001,"A3F"
3805,0,0,45,NA,NA,NA,39,190,520,219,120,71,12,145,20,10,10,17.0000000000001,"A1E"
3807,0,0,93,1,1,"F",34,109,2900,366,160,59,30,75,9,10,10,13.0000000000001,"A2E"
3817,0,0,54,1,4,"F",48,190,815,488,121,42,12,95,5,25,25,16.0000000000001,"A1G"
3827,0,0,64,1,3,"M",34,153,2930,372,140,55,12,113,7,25,25,18,"A1G"
3832,0,0,27,NA,NA,"F",34,189,944,360,133,56,13,98,6,25,25,17.0000000000001,"A1G"
3870,0,0,84,1,5,"M",41,186,962,426,124,20,10,25,2,20,20,17.0000000000001,"A1F"
3889,0,0,67,1,4,"F",39,246,870,354,120,52,12,69,7,20,20,24,"A1F"
3917,0,0,79,1,3,"F",47,172,422,252,120,69,14,127,17,10,10,18,"S2E"
3922,0,0,66,1,1,"M",44,187,1201,347,120,58,14,99,11,12,12,16.0000000000001,"A3E"
3923,0,0,36,1,5,"M",48,113,938,0,170,27,10,31,3,15,15,21,"A1F"
3924,0,0,85,0,1,"F",57,72,3500,205,135,47,12,52,4,17,15,18,"A1F"
3967,0,0,53,1,1,"F",46,185,3553,834,160,29,25,47,4,15,10,8.00000000000006,"F1F"
3978,1,10,38,1,5,"M",52,162,481,263,120,37,12,57,5,15,15,21,"A1F"
3987,0,0,82,0,1,"F",38,224,493,220,120,37,13,80,8,20,10,16.0000000000001,"A2F"
4000,0,0,71,1,6,"M",40,255,1381,447,120,20,11,35,3,13,13,15,"N2E"
4014,0,0,52,1,5,"F",52,156,1156,421,136,19,14,51,3,25,25,16.0000000000001,"N3G"
4015,0,0,38,1,2,"M",45,118,884,248,120,24,13,101,4,36,36,15,"A3G"
4017,1,10,62,NA,1,"F",42,211,2069,448,133,44,14,176,19,15,13,17.0000000000001,"S4F"
4056,0,0,81,1,1,"F",32,176,553,159,139,69,12,113,16,12,10,18,"A1E"
4061,0,0,78,1,6,"F",40,185,5687,515,140,29,13,115,3,50,50,19.0000000000001,"A2G"
4068,0,0,35,1,7,"F",36,227,891,479,152,70,13,191,9,50,50,21,"A1G"
4093,0,0,46,1,4,"M",37,235,500,199,120,51,13,105,6,25,20,17.0000000000001,"A2F"
4096,0,0,50,1,6,"F",35,239,1074,469,140,16,11,30,2,20,20,15,"N1E"
4100,0,0,70,1,1,"M",45,170,899,255,130,28,13,52,6,10,10,18,"S4E"
4113,0,0,88,1,1,"M",42,158,371,239,120,52,11,51,5,17,17,21,"A1F"
4133,0,0,51,1,6,"F",46,162,3563,540,140,11,10,15,1,15,15,18,"F1F"
4140,0,0,57,1,5,"F",41,282,1189,555,140,55,13,108,8,20,20,18,"S2F"
4142,0,0,91,1,2,"F",36,167,370,187,120,21,10,35,2,20,20,19.0000000000001,"A1F"
4149,0,0,22,1,3,"F",40,231,779,369,120,67,13,67,22,5,3,17.0000000000001,"S4D"
4164,0,0,90,NA,NA,"F",49,96,788,252,139,65,11,143,12,19,10,24,"A1E"
4203,0,0,53,1,7,"M",43,216,1320,661,160,21,13,30,2,25,25,19.0000000000001,"N2G"
4229,0,0,63,1,4,"U",50,176,5428,711,160,43,12,81,7,18,10,19.0000000000001,"A2F"
4230,0,0,56,1,3,"F",43,203,518,210,120,30,10,40,3,16,16,18,"A1F"
4237,0,0,82,0,2,"F",40,137,535,160,120,72,13,140,12,17,17,17.0000000000001,"S2F"
4241,0,0,44,1,6,"F",43,231,3403,754,160,72,13,177,9,25,25,16.0000000000001,"A1G"
4242,0,0,73,1,1,"F",58,175,647,397,120,38,13,79,7,20,17,18,"A1F"
4272,0,0,77,0,2,"F",65,139,565,223,120,70,13,242,15,20,15,19.0000000000001,"A1F"
4286,0,0,38,1,5,"F",41,187,430,215,120,11,9,15,1,15,15,15,"F1F"
4312,0,0,44,0,6,"F",36,291,699,425,120,38,13,65,3,30,30,24,"A1G"
4364,0,0,79,0,1,"M",43,195,265,246,120,73,16,93,18,8,5,17.0000000000001,"S3D"
4369,0,0,71,1,5,"M",45,197,883,482,120,118,56,255.99,11,25.99,25,7.00000000000011,"A1G"
4416,0,0,37,1,5,"M",48,174,2631,689,150,35,16,77,6,15,15,15,"A4F"
4424,0,0,91,0,3,"F",45,175,272,244,120,77,13,143,18,10,10,20.0000000000001,"S2E"
4425,0,0,59,1,6,"M",0,0,0,0,0,82,13,241,39,11,5,18,"S4D"
4438,0,0,54,1,7,"M",42,179,809,364,120,34,13,49,7,10,9,16.0000000000001,"S4E"
4445,0,0,72,1,6,"U",47,219,2662,564,133,14,10,26,2,16,16,16.0000000000001,"A1F"
